,,,,
Red de alcance,Fecha,Cantidad,Total Facebook,Total Instagram
Facebook,2024-09-09 0:00:00,36,5406,3147
Facebook,2024-09-10 0:00:00,104,,
Facebook,2024-09-11 0:00:00,285,,
Facebook,2024-09-12 0:00:00,31,,
Facebook,2024-09-13 0:00:00,28,,
Facebook,2024-09-14 0:00:00,60,,
Facebook,2024-09-15 0:00:00,18,,
Facebook,2024-09-16 0:00:00,9,,
Facebook,2024-09-17 0:00:00,21,,
Facebook,2024-09-18 0:00:00,40,,
Facebook,2024-09-19 0:00:00,9,,
Facebook,2024-09-20 0:00:00,12,,
Facebook,2024-09-21 0:00:00,6,,
Facebook,2024-09-22 0:00:00,5,,
Facebook,2024-09-23 0:00:00,3,,
Facebook,2024-09-24 0:00:00,9,,
Facebook,2024-09-25 0:00:00,2,,
Facebook,2024-09-26 0:00:00,5,,
Facebook,2024-09-27 0:00:00,10,,
Facebook,2024-09-28 0:00:00,1,,
Facebook,2024-09-29 0:00:00,9,,
Facebook,2024-09-30 0:00:00,7,,
Facebook,2024-10-01 0:00:00,6,,
Facebook,2024-10-02 0:00:00,9,,
Facebook,2024-10-03 0:00:00,5,,
Facebook,2024-10-04 0:00:00,5,,
Facebook,2024-10-05 0:00:00,4,,
Facebook,2024-10-06 0:00:00,2,,
Facebook,2024-10-07 0:00:00,106,,
Facebook,2024-10-08 0:00:00,51,,
Facebook,2024-10-09 0:00:00,71,,
Facebook,2024-10-10 0:00:00,28,,
Facebook,2024-10-11 0:00:00,17,,
Facebook,2024-10-12 0:00:00,69,,
Facebook,2024-10-13 0:00:00,43,,
Facebook,2024-10-14 0:00:00,23,,
Facebook,2024-10-15 0:00:00,15,,
Facebook,2024-10-16 0:00:00,195,,
Facebook,2024-10-17 0:00:00,69,,
Facebook,2024-10-18 0:00:00,381,,
Facebook,2024-10-19 0:00:00,244,,
Facebook,2024-10-20 0:00:00,72,,
Facebook,2024-10-21 0:00:00,155,,
Facebook,2024-10-22 0:00:00,149,,
Facebook,2024-10-23 0:00:00,247,,
Facebook,2024-10-24 0:00:00,455,,
Facebook,2024-10-25 0:00:00,538,,
Facebook,2024-10-26 0:00:00,678,,
Facebook,2024-10-27 0:00:00,424,,
Facebook,2024-10-28 0:00:00,8,,
Facebook,2024-10-29 0:00:00,9,,
Facebook,2024-10-30 0:00:00,12,,
Facebook,2024-10-31 0:00:00,6,,
Facebook,2024-11-01 0:00:00,316,,
Facebook,2024-11-02 0:00:00,46,,
Facebook,2024-11-03 0:00:00,13,,
Facebook,2024-11-04 0:00:00,35,,
Facebook,2024-11-05 0:00:00,11,,
Facebook,2024-11-06 0:00:00,16,,
Facebook,2024-11-07 0:00:00,7,,
Facebook,2024-11-08 0:00:00,5,,
Facebook,2024-11-09 0:00:00,41,,
Facebook,2024-11-10 0:00:00,13,,
Facebook,2024-11-11 0:00:00,15,,
Facebook,2024-11-12 0:00:00,45,,
Facebook,2024-11-13 0:00:00,21,,
Facebook,2024-11-14 0:00:00,16,,
Facebook,2024-11-15 0:00:00,11,,
Instagram,2024-09-09 0:00:00,90,,
Instagram,2024-09-10 0:00:00,237,,
Instagram,2024-09-11 0:00:00,214,,
Instagram,2024-09-12 0:00:00,5,,
Instagram,2024-09-13 0:00:00,11,,
Instagram,2024-09-14 0:00:00,4,,
Instagram,2024-09-15 0:00:00,43,,
Instagram,2024-09-16 0:00:00,2,,
Instagram,2024-09-17 0:00:00,115,,
Instagram,2024-09-18 0:00:00,71,,
Instagram,2024-09-19 0:00:00,12,,
Instagram,2024-09-20 0:00:00,1,,
Instagram,2024-09-21 0:00:00,1,,
Instagram,2024-09-22 0:00:00,2,,
Instagram,2024-09-23 0:00:00,1,,
Instagram,2024-09-24 0:00:00,1,,
Instagram,2024-09-25 0:00:00,2,,
Instagram,2024-09-26 0:00:00,1,,
Instagram,2024-09-27 0:00:00,1,,
Instagram,2024-09-28 0:00:00,3,,
Instagram,2024-09-29 0:00:00,1,,
Instagram,2024-09-30 0:00:00,40,,
Instagram,2024-10-01 0:00:00,3,,
Instagram,2024-10-02 0:00:00,38,,
Instagram,2024-10-03 0:00:00,22,,
Instagram,2024-10-04 0:00:00,3,,
Instagram,2024-10-05 0:00:00,1,,
Instagram,2024-10-06 0:00:00,1,,
Instagram,2024-10-07 0:00:00,1,,
Instagram,2024-10-08 0:00:00,44,,
Instagram,2024-10-09 0:00:00,16,,
Instagram,2024-10-10 0:00:00,1,,
Instagram,2024-10-11 0:00:00,27,,
Instagram,2024-10-12 0:00:00,101,,
Instagram,2024-10-13 0:00:00,51,,
Instagram,2024-10-14 0:00:00,3,,
Instagram,2024-10-15 0:00:00,4,,
Instagram,2024-10-16 0:00:00,212,,
Instagram,2024-10-17 0:00:00,24,,
Instagram,2024-10-18 0:00:00,20,,
Instagram,2024-10-19 0:00:00,27,,
Instagram,2024-10-20 0:00:00,4,,
Instagram,2024-10-21 0:00:00,113,,
Instagram,2024-10-22 0:00:00,100,,
Instagram,2024-10-23 0:00:00,130,,
Instagram,2024-10-24 0:00:00,418,,
Instagram,2024-10-25 0:00:00,181,,
Instagram,2024-10-26 0:00:00,74,,
Instagram,2024-10-27 0:00:00,59,,
Instagram,2024-10-28 0:00:00,3,,
Instagram,2024-10-29 0:00:00,46,,
Instagram,2024-10-30 0:00:00,17,,
Instagram,2024-10-31 0:00:00,1,,
Instagram,2024-11-01 0:00:00,1,,
Instagram,2024-11-02 0:00:00,144,,
Instagram,2024-11-03 0:00:00,26,,
Instagram,2024-11-04 0:00:00,5,,
Instagram,2024-11-05 0:00:00,41,,
Instagram,2024-11-06 0:00:00,42,,
Instagram,2024-11-07 0:00:00,17,,
Instagram,2024-11-08 0:00:00,30,,
Instagram,2024-11-09 0:00:00,107,,
Instagram,2024-11-10 0:00:00,26,,
Instagram,2024-11-11 0:00:00,33,,
Instagram,2024-11-12 0:00:00,29,,
Instagram,2024-11-13 0:00:00,35,,
Instagram,2024-11-14 0:00:00,5,,
Instagram,2024-11-15 0:00:00,3,,
